Book-Title,Book-Author,Year-Of-Publication,Publisher
Pemulwuy : The Rainbow Warrior,Eric Willmot,1988,Bantam
Free at Last: Experiencing True Freedom Through Your Identity in Christ,Tony Evans,2001,Moody Publishers
A Secret Valentine,Dixie Browning,1983,Silhouette Books
Return Engagement,Diana Dixon,1980,Simon &amp; Schuster Adult Publishing Group
A Gift Of Love Reflections For The Tender Heart,Charles Stanley,2001,Nelson Books
In Touch Study Series:  Developing A Servant's Heart,Charles Stanley,1998,Nelson Books
Catch A Star (Harlequin Romance),Alexandra Scott,1983,Harlequin
The Adventures of the Black Hand Gang,Hans Press,1980,Scholastic Paperbacks (Mm)
The Abolition of Man,C. S. Lewis,2001,Harper SanFrancisco
Lonely Planet New Zealand (Lonely Planet New Zealand),Paul Harding,2002,Lonely Planet Publications
Lonely Planet Australia (Lonely Planet Australia),Paul Smitz,2004,Lonely Planet Publications
"Father'S Promise (Intimate Moments , No 874)",Marcia Evanick,1998,Silhouette
Sprich uns von der Freundschaft. Worte des Propheten.,Khalil Gibran,2002,GÃ?Â¼tersloher Verlagshaus
Japanese Ink Painting: The Art of Sumi-e,Naomi Okamoto,1996,Sterling Publishing
Man of the Outback,Anne Hampson,1980,Simon &amp; Schuster Adult Publishing Group
Paddy Clarke Ha Ha Ha.,Roddy Doyle,1996,"Fischer (Tb.), Frankfurt"
Impossible Things,Connie Willis,1994,Bantam Books
POCKET BOOK OF QUOTATIONS,Henry Davidoff,1990,Pocket
Bewildered Haven,Helen Bianchin,1976,Harlequin
Merriam-Webster Dictionary,Merriam-Webster,1989,Merriam-Webster
Monster Stories,Jane Launchbury,1991,Crescent
"House of the Winds (Harlequin Romance, 1262)",Lane Roumelia,1980,Harlequin
The Great Hunt : Book Two of 'The Wheel of Time' (Wheel of Time),Robert Jordan,1990,Tor Books
The Case for Faith: A Journalist Investigates the Toughest Objections to Christianity,Lee Strobel,2000,Zondervan Publishing Company
Marriage Under Fire : Why We Must Win This Battle,Dr. James Dobson,2004,Multnomah
Mormons: How to Witness to Them,John R. Farkas,1997,Baker Pub Group
Calculus,James Stewart,1999,Brooks/Cole Publishing Company
Strange Bedfellows,Author Unknown,1984,Harlequin
Stories in an Almost Classical Mode,Harold Brodkey,1989,Vintage Books USA
"Love Affair (Harlequin Presents, No 1327)",Lindsay Armstrong,1990,Harlequin
Christianity in Crisis: Includes Study Guide,Hank Hanegraaff,1997,Harvest House Publishers
"Take Away The Pride (Harlequin Presents, 1203)",Emma Richmond,1989,Harlequin
Tower of Babel (World of Darkness),John H. Steele,1995,White Wolf Pub
Exploring the Old Testament,W. T. Purkiser,1955,Beacon Hill Press
The Miracle of the Scarlet Thread,Richard Booker,1988,Destiny Image Publishers
Through the Bible Book by Book: Job to Malachi/Part 2 (Through the Bible Book by Book),Myer Pearlman,1935,Gospel Publishing House
Through the Bible Book by Book: Genesis to Esthe/Part 1 (Through the Bible Book by Book),Myer Pearlman,1935,Gospel Publishing House
Strong Stuff: Mothers' Stories,Emily W. Moore,2000,1stBooks Library
The Quixtar Price Is Right,Bill Quain,2003,INTI Publishing &amp; Resource Books
Figuring Foreigners Out: A Practical Guide,Craig Storti,1998,Intercultural Press
New Testament Survey,Merrill C. Tenney,1985,Wm. B. Eerdmans Publishing Company
Flyaway,Desmond Bagley,1980,Fawcett Books
Psychology of Missionary Adjustment,Marge Jones,1995,Gospel Publishing House
Section 31:  Cloak (Star Trek),S.D. Perry,2001,Star Trek
Two Kinds of Righteousness:,E. W. Kenyon,1981,Kenyon Gospel Publishers
"Two Faces of Love (Mystique Books, 25)",Denise Noel,1979,Worldwide Library
Spiritual Leadership: Principles of Excellence for Every Believer (Commitment to Spiritual Growth),J. Oswald Sanders,1994,Moody Publishers
"Summer Rainfall (Harlequin Romance, 2019)",Kerry Allyne,1976,Harlequin
In Him,Kenneth E. Hagin,1975,Faith Library Publications
"Occupational Hazard (Silhouette Romances, No. 339)",Lynnette Morland,1984,Harlequin Sales Corp (Mm)
Life of Faith,C. Nuzum,1996,Gospel Publishing House
Eternity in Their Hearts:Startling Evidence of Belief in the One True God in Hundreds of Cultures Throughout the World,"Don, Richardson",1984,Regal Books
"Maybe Next Time (Silhouette Romance, No 635)",Tom Smith,1989,Silhouette
I Was a Flaky Preacher,Ted Brooks,1999,Guardian Books
"Bindaburra Outstation (Harlequin Presents, Volume 361)",Kerry Allyne,1980,Mills &amp; Boon Limited
"Just Another Day In Paradise (Redstone, Incorporated) (Silhouette Intimate Moments, No. 1141)",Justine Davis,2002,Silhouette
The Jewish Primer: Questions and Answers on Jewish Faith and Culture,Schumel Himelstein,1992,Facts on File
The Leadership Paradox (From Loren Cunningham),Denny Gunderson,1997,YWAM Publishing
"Just A Kiss Away (Silhouette Special Edition, No 352)",Natalie Bishop,1986,Silhouette
The Art of Coming Home,Craig Storti,2001,Nicholas Brealey Intercultural
"To Love Again (Harlequin Presents, No 1131)",Carole Mortimer,1988,Harlequin
Lady Rowena: The Royal Orphan,Patricia Green,2003,Authorhouse
The Art of Crossing Cultures,Craig Storti,2001,Nicholas Brealey Intercultural
Friend Raising,Barnett,1991,Ywam Publishing
Privatization and Liberalization in the Middle East (Indiana Series in Arab and Islamic Studies),Iliya Harik,1992,Indiana University Press
"Act Of Possession (Harlequin Presents, No 810)",Anne Mather,1985,Harlequin
Conspiracy of Kindness: A Refreshing New Approach to Sharing the Love of Jesus With Others,Steve Sjogren,1993,Vine Books
Summer Desserts (Silhouette Special Edition No. 271),Nora Roberts,1985,Silhouette
Re-Entry: Making the Transition from Missions to Life at Home,Peter Jordan,1992,YWAM Publishing
Reason to Believe,R. C. Sproul,1982,Zondervan Publishing Company
Another Dead Teenager: A Paul Turner Mystery (Paul Turner Mystery),Mark Richard Zubro,1995,St Martins Pr
Sanstorm,Anne Mather,1980,Harlequin Presents
False Intimacy: Understanding the Struggle of Sexual Addiction,Harry W. Schaumburg,1997,Navpress Publishing Group
"Innocent Obsession (Harlequin Presents, 468)",Anne Mather,1981,Harlequin
The Bang-Bang Club: Snapshots from a Hidden War,Greg Marinovich,2000,Basic Books
The Rwanda Crisis: History of a Genocide,Gerard Prunier,1995,Columbia University Press
Northern California Gold &amp; Gem Maps Then &amp; Now,M. L. Preston,2003,Northwest Distributors
Duelling Fire (Harlequin Presents #490),Anne Mather,1982,Harlequin Books
Evangelism: A Concise History,John Mark Terry,2000,Broadman &amp; Holman Publishers
Gods Generals Why They Succeeded and Why,Roberts Liardon,1996,Albury Publishing
Bloody Ten,William F. Love,1992,Penguin USA
Counterfeit Revival,Hank Hanegraaff,2001,W Publishing Group
Arctic Enemy (Harlequin Romance),Linda Harrel,1982,Harlequin Books
Fire And The Ice,Vanessa James,1985,Harlequin
Complete Financial Guide for Young Couples (Christianity Today Series),Larry Burkett,1989,Cook Communications Ministries intl
The New Century Family Money Book/Your Comprehensive Guide to a Lifetime of Financial Security,Johathan D. Pond,1993,Bantam Dell Pub Group
Flower Drying With A Microwave: Techniques and Projects,Titia Joosten,1988,Sterling Publishing
Fantasy Lover,Author Unknown,1984,Harlequin
Red Light,T. Jefferson Parker,2000,Hyperion
"Herbal Treasures: Inspiring Month-By-Month Projects for Gardening, Cooking, and Crafts",Phyllis Shaudys,1990,Storey Communications Inc.
Daughter Of The Star (Harlequin Romance No. 2904),Quinn Wilder,1988,Harlequin
"New Papercrafts: An Inspirational and Practical Guide to Contemporary Papercrafts, Including Papier-Mache, Decoupage, Paper Cutting, Collage, Decorating Paper techniqu",Margaret Malone,1998,Natl Book Network
The Fat-Burning Workout : From Fat to Firm in 24 Days,Joyce L. Vedral,1991,Warner Books
Eight Black Horses (An 87th Precinct Mystery),Ed McBain,1985,Harpercollins Childrens Books
Vampire Master,Virginia Ironside,1989,Walker Books
Call Of Eden (Harlequin American Romance),Barbara Kaye,1983,Harlequin
Making Up by Rex: Beauty for Every Age Every Woman,Rex Hilverdink,1988,Three Rivers Press (CA)
"Das Harvard - Konzept: Sachgerecht verhandeln, erfolgreich verhandeln. Das Standardwerk der Verhandlungstechnik.",Roger Fisher,2000,Campus Fachbuch
Five Favourite Fairy Tales (Favourite Fairy Tales SL1),Peter Stevenson,1998,Ladybird Books
Lessons In Loving (Silhouette Special Edition 420),Bay Matthews,1987,Silhouette
Killer's Choice,Ed McBain,1992,Simon &amp; Schuster
MedienmÃ¤rchen: GesinnungstÃ¤ter im Journalismus,Burkhard MÃ¼ller-Ullrich,1996,Blessing
Women of Color,Darlene Mathis,1999,Capital Books (VA)
Hogsel and Gruntel (Read It Yourself),Dick King-Smith,1999,Penguin Uk
Der achte SchÃ?Â¶pfungstag. Roman.,Thornton Wilder,1991,"Fischer (Tb.), Frankfurt"
A.N.T.I.D.O.T.E.,Malorie Blackman,1997,Corgi Childrens
Betty Crocker's Easy Low-Fat Cooking,Betty Crocker,1995,MacMillan Publishing Company.
Unwedded Bliss,Katherine Granger,1988,Silhouette
"Deviant: The Shocking True Story of Ed Gein, the Original Psycho",Harold Schechter,1998,Pocket
Weight Watchers Slim Ways With Pasta,Weight Watchers,1993,Penguin USA
Twenty Thousand Leagues Under the Sea (Classic Library),Jules Verne,1990,Egmont Childrens Books
"Within Reach (Silhouette Intimate Moments, No 182)",Marilyn Pappano,1987,Silhouette
Der LÃ?Â¼gner.,Stephen Fry,1996,Heyne
Parties and Projects for the Holidays,Martha Stewart,0,Leisure Arts@ Inc
Echoes of the Fourth Magic,R.A. Salvatore,1991,New Amer Library (Mm)
"Spirit of Christmas: Creative Holiday Ideas/Book 9 (Spirit of Christmas, Bk 9.)",Leisure Arts,1995,Leisure Arts Inc.
Adam And Eva,Sandra Kitt,1984,Harlequin
"Christmas With Southern Living 2000 (Christmas With Southern Living, 2000)",Rebecca Brennan,2000,Oxmoor House
"Color Of Love (Temptation, No 247)",Binnie Syril,1989,Harlequin
In the Nick of Time (Memories in the Making Series),Anne Van Wagner Childs,1994,Leisure Arts
"Luthien's Gamble (Salvatore, R. a. Crimson Shadow.)",R. A. Salvatore,1996,Warner Books
"Timeless Ornaments (Christmas Remembered, Bk. 10)",Leisure Arts,1995,Leisure Arts Inc.
Love Is a Fairy Tale (Harlequin American Romance #55),Zelma Orr,1984,Harlequin
The Complete Stories,Bernard Malamud,1998,"Farrar, Straus and Giroux"
"Christmas With Southern Living 2001 (Christmas With Southern Living, 2001)",Rebecca Brennan,2001,Oxmoor House
A Plantation of Vines,Wynne May,1977,Harlequin Romance
Stay: A Novel,NICOLA GRIFFITH,2002,Nan A. Talese
Villa Of Vengence,Annabel Murray,1984,Harlequin
The Dragon King (Crimson Shadow),R. A. Salvatore,1997,Warner Books
The Witch's Daughter (Chronicles of Ynis Aielle),R. A. Salvatore,1999,Del Rey Books
Waking Up (Harlequin Presents),Amanda Carpenter,1986,Harlequin
"Hay Fever (Harlequin Presents, No 1002)",Mary Lyons,1987,Harlequin
"Made In Heaven (Harlequin Temptation, No 202)",Suzanne Simmons Guntrum,1988,Harlequin
"For Karin'S Sake (Harlequin Romance, No 2840)",Samantha Day,1987,Harlequin
"Bastion of Darkness (Chronicles of Ynis Aielle, Bk 3)",R. A. Salvatore,2000,Del Rey Books
Blanket of Stars,Lorraine Valley,1982,Pocket Books
A Secret Friend,Marilyn Sachs,1978,Random House Childrens Books
"In Defense Of Love (Silhouette Intimate Moments, 216)",Kathleen Creighton,1987,Silhouette
The Ink-Keeper's Apprentice,Allen Say,1994,Houghton Mifflin/Walter Lorraine Books
"Two Alone (Silhouette Intimate Moments, 213)",Erin St. Claire,1987,Silhouette
False Dawn: The Delusions of Global Capitalism,John Gray,2000,New Press
Broken Bridge,Lynne Reid Banks,1995,HarperCollins Publishers
"Trouble on Cloud City (Star Wars: Young Jedi Knights, Book 13)",Kevin J. Anderson,1998,Berkley Publishing Group
The Long Hunters,Jason Mannning,2002,Signet Book
The Deadly Dungeon (A to Z Mysteries (Paper)),Ron Roy,1998,Random House Books for Young Readers
"Return to Ord Mantell (Star Wars: Young Jedi Knights, Book 12)",Kevin J. Anderson,1998,Berkley Publishing Group
Perfect Choice (Harlequin Romance),Mellissa Forsythe,1986,Harlequin
Dolly Is Dead,J. S. Borthwick,1995,St Martins Pr
Forgotten Love (Silhouette Romances No 395),Phyllis Halldorson,1985,Silhouette
"Delusions of Grandeur (Star Wars: Young Jedi Knights, Book 9)",Kevin J. Anderson,1997,Berkley Publishing Group
The Restless Years,Lucy Taylor,1992,New Amer Library (Mm)
Players,Hilary Kayle,1991,Berkley Pub Group
"Diversity Alliance (Star Wars: Young Jedi Knights, Book 8)",Kevin J. Anderson,1997,Berkley Publishing Group
Hunger (Harlequin Romance),Rowan Kirby,1986,Harlequin
The Lancaster Men (Promo Series : No 190),Janet Dailey,1991,Harlequin Sales Corp (Mm)
Moments of Madness (Cambridge Literature),Frank Myszor,1998,Cambridge University Press
Pocket Guide to Knots &amp; Splices,Des Pawson,2001,Chartwell Books
"Shards of Alderaan (Star Wars: Young Jedi Knights, Book 7)",Kevin J. Anderson,1997,Berkley Publishing Group
Scattered Remains: A Celebration of 750 Years of Bedlam,Paul Pinn,1998,Tanjen Ltd
Princess Royale,Roslynn Patrick,1991,Harper Mass Market Paperbacks (Mm)
The Preservationist,David Maine,2004,St. Martin's Press
Dangerous Stunt,Mary Lyons,1985,Harlequin
Baby on the Doorstep,Cassie Edwards,1997,HarperTorch
This is Not Civilization : A Novel,Robert Rosenberg,2004,Houghton Mifflin
Moghul Buffet,Cheryl Benard,1998,Farrar Straus &amp; Giroux
Jane Eyre (Courage Unabridged Classics),Charlotte Bronte,2000,Courage Books
Play Our Song Again (Harlequin Romance),Lynsey Stevens,1982,Harlequin Books
Wildtrack,Author Unknown,1984,Harlequin
"Hard To Handle (Silhouette Special Edition, No 250)",Brooke Hastings,1985,Silhouette
"The Road Less Traveled, 25th Anniversary Edition : A New Psychology of Love, Traditional Values, and Spiritual Growth",M. Scott Peck,2002,Simon &amp; Schuster
Hard Merchandise (Star Wars: The Bounty Hunter Wars (Paperback)),K. W. Jeter,1999,Spectra Books
Megan'S Folly,Maura McGiveny,1985,Harlequin
Fever Pitch (Harlequin Presents),Sarah Holland,1983,Harlequin
No New Land,M.G. VASSANJI,1997,Emblem Editions
Elvis Over England,Barry Hines,1999,Penguin Books
The Bartered Bride,Anne M. Kolaczyk,1979,Dell Publishing
"Wild Goose (Harlequin Romance, #2147)",Mary Wibberley,1977,Harlequin
High noon: Ein Western zur Lage der Nation,Joseph von Westphalen,1994,Hoffmann und Campe
"Lady Surrender (Harlequin Presents, No 860)",Carole Mortimer,1986,Harlequin
The Valentine Legacy,Catherine Coulter,1995,Putnam Pub Group
Easy Access,Rebecca Flanders,1985,Harlequin
Connect. Eine ganz moderne Liebesgeschichte 2.,Nan McCarthy,1999,Goldmann
Man of Teak (Harlequin Romance Series),Sue Peters,1982,Harlequin Books
"Separate Cabins (Silhouette Romance, #213)",Janet Dailey,1983,Silhouette
The Birthday Party and the Room: Two Plays,Harold Pinter,1971,Grove Press
Spring Fever (Harlequin Romance),Kerry Allyne,1983,Harlequin
Canaries As a New Pet (As a New Pet Series),Maja Muller Bierl,1991,TFH Publications
"Dream Master (Silhouette Romance, 130)",Laura Hardy,1982,Silhouette
Walker Between the Worlds: A Novel,Diane Desrochers,1995,Llewellyn Publications
101 Great Answers to the the Toughest Financial Questions,Ellie Williams,1996,Career Pr Inc
Jungle Antagonist (Harlequin Romance),Diana Gair,1983,Harlequin
Sexual Astrology,Martine,1988,Dell Publishing Company
The Lover's Quotation Book: A Literary Companion,Helen Handley,1987,Penguin USA
Time Patrolman,Poul Anderson,1983,Tor Books
Confucius : The Wisdom,Peg Streep,1995,Bulfinch
The Gift of Fear : Survival Signals That Protect Us from Violence (Cassette),Gavin De Becker,1997,Audio Literature
Helm,Steven Gould,1999,Tor Science Fiction
Castle Kidnapped,John Dechancie,1991,Ace Books
Hang Time: Days and Dreams With Michael Jordan,Bob Greene,1992,Bantam Dell Pub Group
Seeing Nature Through Gender (Development of Western Resources),Virginia J. Scharff,2003,University Press of Kansas
The Crone,Bill Garnett,1987,St Martins Pr (Mm)
Grim City,Joe L. Hensley,1994,St Martins Pr
DITKA,Armen Keteyian,1993,Pocket
The Cost of Living,ARUNDHATI ROY,1999,Modern Library
Barney's Adventure Hunt: A Search and Spot Book (Barney's Great Adventure),Mark S. Bernthal,1998,Lyrick
DR. SPOCK'S BABY AND CHILD CARE SEVENTH EDITION,Benjamin Spock,1998,Pocket
Just a Shot Away,James Grady,1987,Bantam Books
"Imagine (\Rebel Inc\"" S.)""",Tommy Sheridan,2000,Rebel inc.
"Healing Zen: Buddhist Wisdom on Compassion, Caring, and Caregiving - For Yourself and Others","Ellen, Ph.D., R. N. Birx",2003,Penguin Books
The Rapture of the Deep: And Other Dive Stories You Probably Shouldn't Know,Michael G. Zinsley,1999,Authorhouse
Nurtured By Love,Shinichi Suzuki,0,Exposition Pr
Having Faith: An Ecologist's Journey to Motherhood,Sandra Steingraber,2003,Berkley Publishing Group
Training Your Dog : The Step-by-Step Manual (Howell Reference Books),Joachim  Volhard,1983,Howell Book House
"Mortal Consequences (Forgotten Realms:  Netheril Trilogy, Book 3)",Clayton Emery,1998,Wizards of the Coast
"The Mist-Filled Path: Celtic Wisdom for Exiles, Wanderers, and Seekers",Frank Henderson Maceowen,2002,New World Library
Rainbows,Katherine Stone,1996,Zebra Books (Mass Market)
Henny Youngman's 500: All-Time Greatest One Liners,Henny Youngman,1990,Pinnacle Books
Sun Dancing: Life in a medieval Irish monastery and how Celtic spirituality influenced the world,Geoffrey Moorhouse,1999,Harvest Books
"The Knight's Conquest (Harlequin Historical, 673)",Juliet Landon,2003,Harlequin
Masters of Everon,Gordon Dickson,1992,Tor Books (Mm)
In Search of Mary: The Woman and the Symbol,Sally Cunneen,1996,Ballantine Books
Fire in the Head : Shamanism and the Celtic Spirit,Tom Cowan,1993,HarperSanFrancisco
Diana Vs Charles: Royal Blood Feud,James Whitaker,1993,Signet Book
Confesiones de Un Chef - Aventuras En Transfondo,Anthony Bourdain,2001,Rba Editores
The Way of the Drum,Russell Buddy Helm,2001,Llewellyn Publications
WIZARD'S BANE,Rick Cook,1989,Baen
El Robinson Urbano (Biblioteca breve),Antonio Munoz Molina,1995,Planeta Pub Corp
The Ancient Cookfire: How to Rejuventate Body and Spirit Through Seasonal Foods and Fasting,Carrie L'Esperance,1998,Inner Traditions
The Treaty of Waitangi,Claudia Orange,1996,Paul &amp; Co Pub Consortium
DANCE TO THE SUN,William Esrac,1997,Baen
Primal Mothering in a Modern World,Hygeia Halfmoon,1998,Maul Brothers Publishing
In the Net of Dreams,Wm. Mark Simmons,1990,Warner Books
Compromising Position,Susan Isaacs,1985,Jove Books
Instructions to the Cook: A Zen Master's Lessons in Living a Life That Matters,Bernard Glassman,1997,Bell Tower Book
Witch: A Magickal Journey : A Hip Guide to Modern Witchcraft,Fiona Horne,2002,Thorsons Publishers
Green by Design: Creating a Home for Sustainable Living,Angela Dean,2003,Gibbs Smith Publishers
Use Your Computer to Save Your Life,Harland E. Carney,2001,RSI Institute Press
Body and Emotion: The Aesthetics of Illness and Healing in the Nepal Himalayas (Series in Contemporary Ethnography),Robert R. Desjarlais,1992,University of Pennsylvania Press
Die FÃ?Â¼nf Tibeter.,Peter Kelder,1999,Scherz
Staying Positive in a Negative World,Roger Campbell,1984,Cook Communications Ministries intl
Living on Wilderness Time,Melissa Walker,2003,University Press of Virginia
I Love the Word Impossible,Ann Kiemel,1978,Tyndale House Publishers
"Discovering Aquinas: An Introduction to His Life, Work, and Influence",Aidan Nichols,2003,Wm. B. Eerdmans Publishing Company
Survival into the Twenty First Century,Viktoras Kulvinskas,1975,21st Century Publications
"On the Bones of the Serpent: Person, Memory, and Mortality in Sabarl Island Society",Debbora Battaglia,1990,University of Chicago Press
"Ring Of Gold (Harlequin Desire, No 689)",Jean Barrett,1991,Silhouette
Fatal Attraction,Craig Jones,1984,Ballantine Books
The Organic Gardener,Bob Flowerdew,1993,Hamlyn
Mastering Windows XP Professional,Mark Minasi,2001,Sybex Inc
Rumours Exposed: The Unauthorized Biography of Fleetwood Mac,Leah Furman,2000,Citadel Trade
"Budgerigars: Everything About Purchase, Care, Nutrition, Behavior, and Training (Barron's Complete Pet Owner's Manuals)",I. Birmelin,1998,Barron's Educational Series
Instinctive Eating: The Lost Knowledge of Optimum Nutrition,Zephyr,1996,Pan Piper Pr
The Seasonal Detox Diet: Remedies from the Ancient Cookfire,Carrie L'Esperance,2002,Healing Art Press
I Love Los Angeles Guide,Marilyn J. Appleberg,1993,John Wiley &amp; Sons Inc
Valley of the Kings: A Novel of Tutankhamun,Cecelia Holland,1999,Forge
Bible Guide (Collins Gem),Raymond Brown,1993,HarperCollins Publishers
Permaculture in a Nutshell,Patrick Whitefield,1993,Permanent Publications
Indiana Jones and the Sky Pirates,Martin Caidin,1993,Bantam Books
Persuasion (Broadview Literary Texts),Jane Austen,1998,Broadview Press
More crafts for fun,Eleanor Van Zandt,1975,Doubleday
Captive Embraces,Fern Michaels,1979,Not Avail
Best Friends for Life,V. Gilbert Beers,1990,Harvest House Publishers
Quest for Noahs Ark,John W. Montgomery,1972,Bethany House
Home for the Holidays (Company's Coming),Jean Pare,2002,Company's Coming Publishing
Gift Knits: More Than 70 Wearable &amp; Decorative Projects,Chris Rankin,1994,Sterling Pub Co Inc
YhtÃ¤lÃ¶,Marja-Leena Aarnio,1989,SÃ¶derstrÃ¶m
Mother of Pearl : A Novel,Melinda Haynes,1999,DISNEY BOOKS (LITTLE BROWN)
VideoHound's Golden Movie Retriever 1998,Martin Connors,1997,Client Distribution Services
Internet Handbook,Jim Carroll,2000,Pearson P T R
Sunset Garden Pools: Fountains &amp; Waterfalls,Jeff Beneke,2002,Sunset Books Inc
Song of Roland,Robert Harrison,1984,Signet Book
The Stanley Cup: A complete pictorial history,John Devaney,1975,Rand McNally
The Only Boy for Me,Gil McNeil,2002,Bloomsbury Publishing Plc
Making the A-list,Tyne O'Connell,1999,Headline
Garfield and the Tiger (Golden Easy Reader),Jim Kraft,1989,Golden Books
Jackie's Heart,Ellen M. DuBois,2003,Publishamerica
Appointment in Haiphong,Nick Carter,1982,Ace Books
With an Everlasting Love: A Story of Love.. the Kind You'Ve Always Longed for,Kay Arthur,1995,Harvest House Pub
Judge Benjamin: The Superdog Secret,Judith Whitelock McInerney,1983,Holiday House
Vegetables (Company's Coming),Jean Pare,1988,Company's Coming Publishing
To Sleep No More,Dinah Lampitt,1988,Hodder &amp; Stoughton General Division
Psychology of Self Esteem,Nathaniel Branden,1982,Bantam Books
Gojiro,Mark Jacobson,1993,Spectra Books
Dinners of the World (Company's Coming),Jean Pare,1991,Company's Coming Publishing
Holidays With Cookies (Kids Create),Joanne Karlson,1995,Tyndale House Pub (J)
New Girl (Laurie Newman Adventures),Janet Adele Bloss,1990,Pages Publishing Group
Crow and Weasel,Barry Lopez,1990,North Point Press
How to Buy Stocks / By Louis Engel and B,Louis Engels,1984,Bantam Books
Seagram's Bartending Guide,Ltd Seagram Company,1995,Viking Books
Untamed Tongues: Wild Words from Wild Women,Autumn Stephens,1993,Red Wheel/Weiser
Money matters for parents and their kids,Ron Blue,1988,Oliver-Nelson
Codependents' Guide to the 12 Steps,Melody Beattie,1990,Simon &amp; Schuster
I Want to Thank My Brain for Remembering Me : A Memoir,Jimmy Breslin,1997,Back Bay Books
The Crocus List,Gavin Lyall,1987,Select Penguin
The Testament,Elie Wiesel,1999,Schocken Books
The Mathematical Tourist: Snapshots of Modern Mathematics,Ivars Peterson,1989,W.H. Freeman &amp; Company
"La chambre des dames, tome 1",Jeanne Bourin,1986,LGF
Journal,A Frank,0,Pocket
A Child's Bible (Piccolo Books),Anne Edwards,2001,Pan Books
A Walk Through Wales,Anthony Bailey,1992,Harpercollins
NEMESIS,Christie,1982,Pocket
The Ultimate Weight Solution: The 7 Keys to Weight Loss Freedom,Phil McGraw,2003,Simon &amp; Schuster Audio
The Working Stiff Cookbook: Great Food! Easy Recipes!,Bob Sloan,1998,Chronicle Books
Chasing Rainbows (A Town Called Harmony),Linda Shertzer,1994,Berkley Pub Group (Mm)
Samson,Ellen Gunderson Traylor,1993,Harvest House Pub
Watercolor for the Artistically Undiscovered,Thacher Hurd,1992,Klutz Press
Drawing for the Artistically Undiscovered,Quentin Blake,1999,Klutz Press
How to Be Your Little Man's Dad: 365 Things to Do With Your Son,Dan Bolin,1993,Pinon Press
Faith: The substance of things unseen,Penelope J Stokes,1995,Tyndale House Publishers
The Complete Idiot's Guide to Soups,Jenna Holst,1998,Macmillan Distribution
Phoenix,Amos Aricha,1979,New American Library
Good Old Food: A Taste from the Past,Irene Chalmers,1993,Barrons Educational Series Inc
Roads That Seldom Curve: Growing Up Along the Mississippi,Al Allen,1991,August House Pub
"Honey, I Dunked the Kids",Phil Callaway,1993,Harvest House Pub
"Avoin, hellÃ¤ ja katumaton: Romaani",Eeva Joenpelto,1991,W. SÃ¶derstrÃ¶m
Frame Work,Steven Krauzer,1989,Bantam Books
Rikas ja kunniallinen,Eeva Joenpelto,1984,SÃ¶derstrÃ¶m
Decorating Dreams on a Budget,Emilie Barnes,1999,Harvest House Pub
Mosaic Workshop: A Guide to Designing and Creating Mosaics,Emma Biggs,1999,Trafalgar Square
Code Name Nimrod,James Leasor,1982,Playboy Mass Market Paperbacks
More Hours in My Day,Emilie Barnes,1989,Harvest House Publishers
30 Days to a More Incredible You (30 Day Devotional Series (TCW)),Ramona Cramer Tucker,1998,Tyndale House Publishers
"Sylvie, suivi de \Les ChimÃ?Â¨res\"" et \""Odelettes\""""",GÃ?Â©rard de Nerval,2001,IRD Orstom
365 Ways to Build Your Child's Self Esteem,Cheri Fuller,1994,Pinon Press
"Wait for Me (Loveswept, No 702)",Mary Kay McComas,1994,Loveswept
Nostalgie de la magie noire,Vincent Ravalec,1999,J'ai lu
"Heartsmart Shopper, The - Nutrition on the Run",Ramona Josephson,1998,Douglas &amp; McIntyre
Family: Reflections and Memories,Jane Parker Resnick,1995,Smithmark Publishers
Natural Horse-Man-Ship (Western Horseman Books),Pat Parelli,1993,Western Horseman
Le Horla,Guy de Maupassant,1994,LGF
Un insondable mystÃ?Â¨re,Ellis Peters,2001,Editions 10/18
CRASH OF 79,Paul E Erdman,1977,Pocket
HypÃ?Â©rion,Friedrich HÃ?Â¶lderlin,1973,Gallimard
Antique Typewriters: From Creed to QWERTY,Michael Adler,2000,Schiffer Publishing
Webster's Concise Atlas-Proprietary Sale Edition,Outlet,1991,Not Avail
Fiesta: The Homer Laughlin China Company's Colorful Dinnerware (Schiffer Book for Collectors),Jeffrey B. Snyder,1999,Schiffer Publishing
The Wisdom of John Paul II: The Pope on Life's Most Vital Questions,John Paul,1995,HarperCollins Publishers
Hamlet,William Shakespeare,1978,Signet Book
The Book of Decorative Knots,Peter Owen,1994,The Lyons Press
The Sir Arthur Conan Doyle Reader: From Sherlock Holmes to Spiritualism,Arthur Conan Doyle,2002,Cooper Square Publishers
The Complete Book of Ballroom Dancing,Richard Montgomery Stephenson,1980,Doubleday Books
The Hauntings of Hood Canal,Jack Cady,2001,St. Martin's Press
There You Go Again: Editorial Cartoons of the Reagan Years,George Fisher,1987,Univ of Arkansas Pr
Pessimism,Joe Bailey,1988,Routledge
Casting the Runes: And Other Ghost Stories (Oxford World's Classics  (University Press).),M. R. James,2002,Oxford University Press
Thy Neighbour's Wife,Gay Talese,1981,Pan Macmillan
"L'Eveil d'Endymion, tome 1",Dan Simmons,2000,Pocket
Fisher,George Fisher,1978,Rose Pub. Co
"The Serpentine Assassin (Agent 13 : the Midnight Avenger, No 2)",Flint Dille,1986,T S R
ABC for Book Collectors,John Carter,1995,Oak Knoll Press
